[2026-06-24 18:33:18] Setting loaded & applied: key='per_question_custom_timer', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='question_nav_mode', value='Semi Automatic'
[2026-06-24 18:33:18] Setting loaded & applied: key='enable_emergency_controls', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='prevent_multi_tabs', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='detect_refresh', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='full_screen_req', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='block_copy_paste', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='disable_right_click', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='auto_submit_on_exit', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='auto_save_answers', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='auto_backup_data', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='recovery_restart', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='light_theme', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='dark_theme', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='custom_colors', value='#4F46E5'
[2026-06-24 18:33:18] Setting loaded & applied: key='custom_bg', value=''
[2026-06-24 18:33:18] Setting loaded & applied: key='custom_fonts', value='Inter, sans-serif'
[2026-06-24 18:33:18] Setting loaded & applied: key='sponsor_logos', value=''
[2026-06-24 18:33:18] Setting loaded & applied: key='quiz_start_notif', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='question_change_notif', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='time_warn_notif', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='result_ready_notif', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='instant_result', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='show_correct_ans', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='show_wrong_ans', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='show_total_score', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='show_rank', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='download_pdf', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='auto_gen_cert', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='winner_cert', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='part_cert', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='custom_cert_temp', value=''
[2026-06-24 18:33:18] Setting loaded & applied: key='cert_dl_btn', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='trophy_anim', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='confetti_effect', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='fireworks_anim', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='winner_music', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='winner_photos', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='team_creation', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='team_scoring', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='team_leader_sel', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='team_ranking', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='lang_en', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='lang_hi', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='lang_mr', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='multi_lang', value='0'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:18] Setting loaded & applied: key='login_limit', value='5'
[2026-06-24 18:33:18] Setting loaded & applied: key='activity_logs', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='audit_trail', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='ajax_refresh', value='1000'
[2026-06-24 18:33:18] Setting loaded & applied: key='cache_settings', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='db_opt', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='live_monitor', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='export_excel', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='export_pdf', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='part_report', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='score_analytics', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='q_analytics', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='ai_q_gen', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='ai_diff_analyzer', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='ai_perf_insights', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='ai_quiz_summary', value='1'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:18] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:21] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:33:23] Setting loaded & applied: key='admin_timeout', value='60'
[2026-06-24 18:36:26] Setting loaded & applied: key='quiz_name', value='TechnoQuiz'
[2026-06-24 18:36:26] Setting loaded & applied: key='quiz_logo', value='assets/logo.png'
[2026-06-24 18:36:26] Setting loaded & applied: key='custom_colors', value='#4F46E5'
[2026-06-24 18:36:26] Setting loaded & applied: key='custom_fonts', value='Inter, sans-serif'
[2026-06-24 18:36:26] Setting loaded & applied: key='custom_bg', value=''
